"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"JERMICHAELFINLEY","TE","Jermichael Finley",NA,40,256,58.1,NA,NA,0,0,0,NA,0,0,NA,401,3,NA,0,0
"TROYNIKLAS","TE","Troy Niklas","ARI",41,257,57.6,NA,NA,0,0,0,NA,0,0,NA,396,3,NA,0,0
"JORDANTODMAN","RB","Jordan Todman","JAX",70,258,57.2,NA,NA,0,0,0,NA,289,2,NA,103,1,NA,0,0
"AJJENKINS","WR","A.J. Jenkins","KC",113,258,57.2,NA,NA,0,0,0,NA,13,0,NA,439,2,NA,0,0
"DANIELTHOMAS","RB","Daniel Thomas","MIA",71,260,56.9,NA,NA,0,0,0,NA,268,3,NA,81,1,NA,0,1
"BRANDONPETTIGREW","TE","Brandon Pettigrew","DET",42,261,56.1,NA,NA,0,0,0,NA,0,0,NA,401,3,NA,0,1
"MARCELREECE","RB","Marcel Reece","OAK",72,262,55.7,NA,NA,0,0,0,NA,252,2,NA,125,1,NA,0,0
"JARIUSWRIGHT","WR","Jarius Wright","MIN",114,263,54,NA,NA,0,0,0,NA,0,0,NA,420,2,NA,0,0
"MATTASIATA","RB","Matt Asiata","MIN",73,264,53.5,NA,NA,0,0,0,NA,288,3,NA,67,0,NA,0,0
"MIKEJAMES","RB","Mike James","TB",73,264,53.5,NA,NA,0,0,0,NA,322,2,NA,93,0,NA,0,0
"TJGRAHAM","WR","T.J. Graham","BUF",115,266,53.4,NA,NA,0,0,0,NA,21,0,NA,413,2,NA,0,1
"BLAKEBORTLES","QB","Blake Bortles","JAX",36,267,52.96,NA,NA,669,4,3,NA,82,1,NA,0,0,NA,1,0
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",75,268,52.3,NA,NA,0,0,0,NA,281,2,NA,82,1,NA,0,1
"DRIARCHER","RB","Dri Archer","PIT",76,269,50.2,NA,NA,0,0,0,NA,275,2,NA,67,1,NA,0,1
"DONALDBROWN","RB","Donald Brown","SD",77,270,49.9,NA,NA,0,0,0,NA,259,2,NA,120,0,NA,0,0
"DARRIUSHEYWARDBEY","WR","Darrius Heyward-Bey","PIT",116,271,49.2,NA,NA,0,0,0,NA,7,0,NA,385,2,NA,0,1
"MICHAELBUSH","RB","Michael Bush",NA,78,272,49.1,NA,NA,0,0,0,NA,258,3,NA,53,0,NA,0,0
"LANCEKENDRICKS","TE","Lance Kendricks","STL",43,272,49.1,NA,NA,0,0,0,NA,0,0,NA,311,3,NA,0,0
"ANDREBROWN","RB","Andre Brown",NA,79,274,48.9,NA,NA,0,0,0,NA,320,2,NA,49,0,NA,0,0
"MARIONGRICE","RB","Marion Grice","SD",80,275,48.5,NA,NA,0,0,0,NA,128,1,NA,237,1,NA,0,0
"MARCUSLATTIMORE","RB","Marcus Lattimore","SF",81,276,47.5,NA,NA,0,0,0,NA,215,1,NA,140,1,NA,0,0
"BRANDONBOLDEN","RB","Brandon Bolden","NE",82,277,47.2,NA,NA,0,0,0,NA,232,2,NA,120,0,NA,0,0
"ROBERTMEACHEM","WR","Robert Meachem","NO",117,278,47,NA,NA,0,0,0,NA,0,0,NA,350,2,NA,0,0
"RONNIEBROWN","RB","Ronnie Brown","HOU",83,279,46.6,NA,NA,0,0,0,NA,270,2,NA,76,0,NA,0,0
"BRYCEBROWN","RB","Bryce Brown","BUF",84,280,46,NA,NA,0,0,0,NA,252,3,NA,48,0,NA,0,1
"AUSTINCOLLIE","WR","Austin Collie",NA,118,281,45.9,NA,NA,0,0,0,NA,0,0,NA,339,2,NA,0,0
"BILALPOWELL","RB","Bilal Powell","NYJ",85,282,45.6,NA,NA,0,0,0,NA,284,2,NA,52,0,NA,0,0
"DALLASCLARK","TE","Dallas Clark",NA,44,283,45.4,NA,NA,0,0,0,NA,0,0,NA,334,2,NA,0,0
"ANTHONYFASANO","TE","Anthony Fasano","KC",44,283,45.4,NA,NA,0,0,0,NA,0,0,NA,334,2,NA,0,0
"MIKEBROWN","WR","Mike Brown","JAX",119,285,45.2,NA,NA,0,0,0,NA,0,0,NA,412,1,NA,0,1
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",86,286,45.1,NA,NA,0,0,0,NA,203,2,NA,128,0,NA,0,0
"ISAIAHPEAD","RB","Isaiah Pead","STL",87,287,44.9,NA,NA,0,0,0,NA,217,1,NA,112,1,NA,0,0
"KIRKCOUSINS","QB","Kirk Cousins","WAS",37,288,44.62,NA,NA,718,5,4,NA,39,0,NA,0,0,NA,0,0
"CASEKEENUM","QB","Case Keenum","HOU",38,289,44.34,NA,NA,796,5,6,NA,45,0,NA,0,0,NA,0,0
"DARYLRICHARDSON","RB","Daryl Richardson","NYJ",88,290,44.3,NA,NA,0,0,0,NA,224,2,NA,119,0,NA,0,1
"DWAYNEHARRIS","WR","Dwayne Harris","DAL",120,291,44,NA,NA,0,0,0,NA,28,0,NA,232,3,NA,0,0
"BRIANQUICK","WR","Brian Quick","STL",121,292,43.9,NA,NA,0,0,0,NA,0,0,NA,319,2,NA,0,0
"JOHNCARLSON","TE","John Carlson","ARI",46,293,43.6,NA,NA,0,0,0,NA,0,0,NA,376,1,NA,0,0
"GAVINESCOBAR","TE","Gavin Escobar","DAL",46,293,43.6,NA,NA,0,0,0,NA,0,0,NA,316,2,NA,0,0
"RYANGRIFFIN","TE","Ryan Griffin","HOU",48,295,43.3,NA,NA,0,0,0,NA,0,0,NA,313,2,NA,0,0
"TONYMOEAKI","TE","Tony Moeaki","BUF",49,296,43.1,NA,NA,0,0,0,NA,0,0,NA,311,2,NA,0,0
"MIKELLESHOURE","RB","Mikel Leshoure","DET",89,297,43,NA,NA,0,0,0,NA,222,2,NA,88,0,NA,0,0
"CHARLESSIMS","RB","Charles Sims","TB",89,297,43,NA,NA,0,0,0,NA,256,1,NA,134,0,NA,0,1
"CHRISPOLK","RB","Chris Polk","PHI",91,299,42.7,NA,NA,0,0,0,NA,168,2,NA,79,1,NA,0,0
"BRUCEELLINGTON","WR","Bruce Ellington","SF",122,299,42.7,NA,NA,0,0,0,NA,0,0,NA,387,1,NA,0,1
"MIKEGLENNON","QB","Mike Glennon","TB",39,301,42.62,NA,NA,818,5,6,NA,19,0,NA,0,0,NA,0,0
"DENNISJOHNSON","RB","Dennis Johnson",NA,92,302,41.9,NA,NA,0,0,0,NA,207,1,NA,92,1,NA,0,0
"MARKSANCHEZ","QB","Mark Sanchez","PHI",40,303,41.56,NA,NA,799,4,4,NA,16,0,NA,0,0,NA,0,0
"TERRELLEPRYOR","QB","Terrelle Pryor","SEA",41,304,40.74,NA,NA,486,3,7,NA,173,1,NA,0,0,NA,0,0
"JONATHANDWYER","RB","Jonathan Dwyer","ARI",93,305,40.2,NA,NA,0,0,0,NA,206,2,NA,96,0,NA,0,1
"BLAINEGABBERT","QB","Blaine Gabbert","SF",42,306,39.9,NA,NA,675,4,2,NA,9,0,NA,0,0,NA,0,0
"FOZZYWHITTAKER","RB","Fozzy Whittaker","CAR",94,307,39.8,NA,NA,0,0,0,NA,195,1,NA,143,0,NA,0,0
"QUINTONPATTON","WR","Quinton Patton","SF",123,308,39.6,NA,NA,0,0,0,NA,14,0,NA,322,1,NA,0,0
"CHRISTIANPONDER","QB","Christian Ponder","MIN",43,309,39.06,NA,NA,789,4,7,NA,55,0,NA,0,0,NA,0,0
"ALDRICKROBINSON","WR","Aldrick Robinson","WAS",124,310,38.6,NA,NA,0,0,0,NA,6,0,NA,320,1,NA,0,0
"DAVIDNELSON","WR","David Nelson","NYJ",125,311,37.5,NA,NA,0,0,0,NA,0,0,NA,315,1,NA,0,0
"DARICKROGERS","WR","Da'Rick Rogers","IND",126,312,37.4,NA,NA,0,0,0,NA,6,0,NA,248,2,NA,0,0
"RISHARDMATTHEWS","WR","Rishard Matthews","MIA",127,313,37.3,NA,NA,0,0,0,NA,0,0,NA,313,1,NA,0,0
"MARTAVISBRYANT","WR","Martavis Bryant","PIT",128,314,37.2,NA,NA,0,0,0,NA,0,0,NA,312,1,NA,0,0
"SANTANAMOSS","WR","Santana Moss","WAS",129,315,36.8,NA,NA,0,0,0,NA,0,0,NA,348,1,NA,0,2
"JONBALDWIN","WR","Jon Baldwin",NA,130,316,36.3,NA,NA,0,0,0,NA,0,0,NA,243,2,NA,0,0
"JIMDRAY","TE","Jim Dray","CLE",50,316,36.3,NA,NA,0,0,0,NA,0,0,NA,303,1,NA,0,0
"JUNIORHEMINGWAY","WR","Junior Hemingway","KC",131,318,35.8,NA,NA,0,0,0,NA,0,0,NA,258,2,NA,0,1
"DEVIERPOSEY","WR","DeVier Posey","HOU",132,319,34.2,NA,NA,0,0,0,NA,0,0,NA,282,1,NA,0,0
"MATTMCGLOIN","QB","Matt McGloin","OAK",44,320,34.08,NA,NA,522,5,4,NA,12,0,NA,0,0,NA,0,0
"PAULRICHARDSON","WR","Paul Richardson","SEA",133,321,33.6,NA,NA,0,0,0,NA,0,0,NA,276,1,NA,0,0
"WILLISMCGAHEE","RB","Willis McGahee",NA,95,322,33.2,NA,NA,0,0,0,NA,185,2,NA,27,0,NA,0,0
"BENJARVUSGREENELLIS","RB","BenJarvus Green-Ellis","CIN",96,323,32.8,NA,NA,0,0,0,NA,210,2,NA,18,0,NA,0,1
"LAVONBRAZILL","WR","LaVon Brazill",NA,134,324,32,NA,NA,0,0,0,NA,0,0,NA,280,1,NA,0,1
"CHRISOWUSU","WR","Chris Owusu","TB",135,325,31.6,NA,NA,0,0,0,NA,0,0,NA,256,1,NA,0,0
"JOHNATHANFRANKLIN","RB","Johnathan Franklin",NA,97,326,31.4,NA,NA,0,0,0,NA,167,1,NA,127,0,NA,0,2
"TYLERGAFFNEY","RB","Tyler Gaffney","NE",98,327,30.8,NA,NA,0,0,0,NA,185,1,NA,63,0,NA,0,0
"GRIFFWHALEN","WR","Griff Whalen","IND",136,328,30.5,NA,NA,0,0,0,NA,0,0,NA,245,1,NA,0,0
"LARODSTEPHENSHOWLING","RB","LaRod Stephens-Howling",NA,99,329,30.4,NA,NA,0,0,0,NA,211,1,NA,33,0,NA,0,0
"MIKEGOODSON","RB","Mike Goodson","NYJ",100,330,30.3,NA,NA,0,0,0,NA,155,1,NA,88,0,NA,0,0
"JOSHHUFF","WR","Josh Huff","PHI",137,330,30.3,NA,NA,0,0,0,NA,0,0,NA,243,1,NA,0,0
"JOSHMORGAN","WR","Josh Morgan","CHI",138,332,30.1,NA,NA,0,0,0,NA,0,0,NA,261,1,NA,0,1
"ANDRECALDWELL","WR","Andre Caldwell","DEN",139,333,29.8,NA,NA,0,0,0,NA,5,0,NA,233,1,NA,0,0
"JURONCRINER","WR","Juron Criner","OAK",140,334,29,NA,NA,0,0,0,NA,0,0,NA,230,1,NA,0,0
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",141,335,28.8,NA,NA,0,0,0,NA,28,0,NA,220,1,NA,0,1
"JARVISLANDRY","WR","Jarvis Landry","MIA",142,336,27.4,NA,NA,0,0,0,NA,0,0,NA,214,1,NA,0,0
"DEREKCARR","QB","Derek Carr","OAK",45,337,26.98,NA,NA,452,3,3,NA,29,0,NA,0,0,NA,0,0
"TANDONDOSS","WR","Tandon Doss","JAX",143,338,26.9,NA,NA,0,0,0,NA,0,0,NA,289,0,NA,0,1
"JOSHBOYCE","WR","Josh Boyce","NE",144,339,26.1,NA,NA,0,0,0,NA,0,0,NA,201,1,NA,0,0
"DREWDAVIS","WR","Drew Davis","ATL",145,340,25.3,NA,NA,0,0,0,NA,0,0,NA,193,1,NA,0,0
"SHAUNHILL","QB","Shaun Hill","STL",46,341,24.94,NA,NA,421,3,3,NA,21,0,NA,0,0,NA,0,0
"NICKTOON","WR","Nick Toon","NO",146,342,22.5,NA,NA,0,0,0,NA,0,0,NA,165,1,NA,0,0
"DAVONEBESS","WR","Davone Bess",NA,147,343,20.8,NA,NA,0,0,0,NA,0,0,NA,228,0,NA,0,1
"AJMCCARRON","QB","AJ McCarron","CIN",47,344,20.78,NA,NA,367,3,3,NA,1,0,NA,0,0,NA,0,0
"JASONCAMPBELL","QB","Jason Campbell","CIN",48,345,20.62,NA,NA,333,2,1,NA,13,0,NA,0,0,NA,0,0
"ZACHMETTENBERGER","QB","Zach Mettenberger","TEN",49,346,18.14,NA,NA,321,2,2,NA,13,0,NA,0,0,NA,0,0
"KYLEORTON","QB","Kyle Orton",NA,50,347,17.66,NA,NA,324,2,2,NA,7,0,NA,0,0,NA,0,0
"LEONARDHANKERSON","WR","Leonard Hankerson","WAS",148,348,16.9,NA,NA,0,0,0,NA,0,0,NA,109,1,NA,0,0
"JACOBYFORD","WR","Jacoby Ford","NYJ",149,349,16.5,NA,NA,0,0,0,NA,83,0,NA,102,0,NA,0,1
"DOMENIKHIXON","WR","Domenik Hixon",NA,150,350,13,NA,NA,0,0,0,NA,0,0,NA,130,0,NA,0,0
